+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for           |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M                                           |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold          |
| 163 | minecraft:mutated_savanna                  | Savanna M                                                  |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold          |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M                                          |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE          | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)                                               |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M                                           |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                   | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M                                             |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold          |
| 168 | abyssalcraft:omothol                       | Omothol                                                    |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            | stronghold          |
| 169 | abyssalcraft:dark_realm                    | Dark Realm                                                 |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            | stronghold          |
| 170 | abyssalcraft:purged                        | Purged                                                     |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            | stronghold          |
| 171 | abyssalcraft:abyssal_swamp                 | Abyssal Swamp                                              |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            | stronghold          |
| 172 | abyssalcraft:abyssal_desert                | Abyssal Desert                                             |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            | stronghold          |
| 173 | abyssalcraft:abyssal_plateau               | Abyssal Plateau                                            |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            | stronghold          |
| 174 | abyssalcraft:coralium_ocean                | Coralium Lake                                              |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            |                     |
| 175 | advancedrocketry:moon                      | Regolith Highlands                                         |    0.30 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, WASTELAND                            | stronghold          |
| 176 | advancedrocketry:alien_forest              | Alien Forest                                               |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL                                 | stronghold          |
| 177 | advancedrocketry:hotdryrock                | Ferric Regolith Wasteland                                  |    0.90 | MEDIUM   | 0.00 | false | false   |            | DRY, HOT, WASTELAND                             | stronghold          |
| 178 | advancedrocketry:space                     | Space                                                      |    1.00 | WARM     | 0.50 | false | false   |            | VOID                                            |                     |
| 179 | advancedrocketry:stormland                 | Stormland                                                  |    0.90 | MEDIUM   | 0.90 | false | false   |            | HOT, WASTELAND, WET                             | stronghold          |
| 180 | advancedrocketry:crystalchasms             | Crystal Chasms                                             |    0.10 | COLD     | 0.20 | false | false   |            | COLD, SNOWY, WASTELAND                          | stronghold          |
| 181 | advancedrocketry:deepswamp                 | Deep Swamp                                                 |    0.90 | MEDIUM   | 0.90 | false | false   |            | HOT, WET                                        |                     |
| 182 | advancedrocketry:marsh                     | Marsh                                                      |    0.50 | MEDIUM   | 0.50 | false | false   |            | HOT, WET                                        |                     |
| 183 | advancedrocketry:oceanspires               | Ocean Spires                                               |    0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                    |                     |
| 184 | advancedrocketry:moondark                  | Regolith Lowlands                                          |    0.30 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, WASTELAND                            | stronghold          |
| 185 | advancedrocketry:volcanic                  | Volcanic                                                   |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, WASTELAND                   |                     |
| 186 | advancedrocketry:volcanicbarren            | Volcanic Lowlands                                          |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, WASTELAND                   |                     |
| 187 | dimdoors:limbo                             | Limbo                                                      |    0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                            | stronghold          |
| 188 | dimdoors:white_void                        | White Void                                                 |    0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                            |                     |
| 189 | dimdoors:black_void                        | Black Void                                                 |    0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                            |                     |
| 190 | dimdoors:dangerous_black_void              | Dangerous Black Void                                       |    0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                            |                     |
+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for           |
+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
